性質,資源彙整機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,電子郵件,地址,服務項目,服務區域,相關網址,X坐標,Y坐標,備註,最後更新時間
,桃園市政府,和頌長照社團法人附設桃園市私立和頌住宿長照機構,,,簡妤娟,03-2188267#652,03-2188326,service@hyggetw.com,桃園市桃園區建國路313號1-8樓,機構喘息,全區,,,,,20250529
,桃園市政府,國軍桃園總醫院附設護理之家,,,戴明正,03-4799595#325924,03-4802203,funny3652460@aftygh.gov.tw,桃園市龍潭區中興路168號5樓,機構喘息,全區,,,,,20250529
,桃園市政府,至善天下護理之家,,,林汶諭,03-3281896,03-3971606,ch3281896@gmail.com,桃園市龜山區復興二路78巷48號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立愛心老人長期照顧中心（養護型）,,,鍾朝麟,03-470-6561,03-4990650,onlyyou21asd@gmail.com,桃園市龍潭區龍潭里龍元路45號1樓,機構喘息,全區,,,,,20250529
,桃園市政府,財團法人桃園市私立怡德老人長期照顧中心（養護型）,,,林哲弘,03-4092468,03-4809518,ella94101@gmail.com,桃園市龍潭區中正路三林段619巷105號,機構喘息,全區,,,,,20250529
,桃園市政府,太陽桃園長照社團法人附設桃園市私立龍潭住宿長照機構,,,張進毅,03-2866068,03-4895585,sun032866068@gmail.com,桃園市龍潭區中豐路52號B1-3樓,機構喘息,全區,,,,,20250529
,桃園市政府,臺北榮民總醫院桃園分院附設松柏園護理之家,,,鄒芳榆,03-2617058,,N291@tyvh.gov.tw,桃園市桃園區成功路三段100號之3,機構喘息,全區,,,,,20250529
,桃園市政府,健亞護理之家,,,郭芳如,03-3334203,03-3334397,3334203@gmail.com,桃園市桃園區中山東路32-20號4樓之1,機構喘息,全區,,,,,20250529
,桃園市政府,喜福美護理之家,,,黃子容,03-2811177,03-2811176,hifumi2811177@gmail.com,桃園市中壢區志廣路119號8、9樓,機構喘息,全區,,,,,20250529
,桃園市政府,長庚醫療財團法人附設長青護理之家,,,邱?玲,03-3492345,03-3297125,shu2213@cgmh.org.tw,桃園市龜山區舊路里東舊路26之8號,機構喘息,全區,,,,,20250529
,桃園市政府,臺北榮民總醫院桃園分院附設長青園護理之家,,,翁瑜羚,03-2868001,03-3380933,n140@tyvh.gov.tw,桃園市桃園區成功路三段100號,機構喘息,全區,,,,,20250529
,桃園市政府,康莊長照社團法人承辦桃園市蘆竹區老人長期照顧中心（養護型）,,,林哲弘,03-3245369分機9,03-3245799,smilegirl2430@gmail.com,桃園市蘆竹區黃帝街168號,機構喘息,全區,,,,,20250529
,桃園市政府,智化護理之家,,,張靖旋,03-4732301,,zhihua30395212@gmail.com,桃園市觀音區三和里5鄰快速路9段972號,機構喘息,全區,,,,,20250529
,桃園市政府,新北市私立保安老人長期照顧中心（養護型）,,,唐台勇,02-26863810,02-26875855,nbaoan66@gmail.com,新北市樹林區金寮里6鄰保安街二段64號4樓,機構喘息,全區,,,,,20250529
,桃園市政府,荷蘭村護理之家,,,陳惠琪,03-5811558,03-5811699,Holland5811558@gmail.com,新竹縣橫山鄉沙坑村中豐路三段76號,機構喘息,全區,,,,,20250529
,桃園市政府,財團法人天下為公社會福利慈善事業基金會附設桃園市私立龍潭老人長期照顧中心（養護型）,,,胡世賢,03-4116889,03-4117373,1050523124@hangan.org,桃園市龍潭區高原里南坑路1075巷82號,機構喘息,全區,,,,,20250529
,桃園市政府,龍潭敏盛醫院附設護理之家,,,全湘玲,03-4097279,03-4090669,chronic.new@msa.hinet.net,桃園市龍潭區中興路168號2樓,機構喘息,全區,,,,,20250529
,桃園市政府,馨安長照社團法人私立馨安住宿長照機構,,,胡雅雯,03-4095111,,hsinan4095111@gmail.com,桃園市龍潭區中興路483巷111號,機構喘息,全區,,,,,20250529
,桃園市政府,旭登長照社團法人附設桃園市私立仁善綜合長照機構,,,李麗珠,03-2737777分機219,03-3807776,r-shan@zhco.com.tw,桃園市大溪區仁善街268號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立瑞生老人長期照顧中心（養護型）,,,黃郁芬,03-4502966,03-4601439,4502966@gmail.com,桃園市平鎮區金陵路五段32之1號32之2號(1-2F),機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立吉安老人長期照顧中心（養護型）,,,王文珠,03-3345631,03-3329699,jianoffice1003@gmail.com,桃園市桃園區朝陽街二段26、28號1樓,機構喘息,全區,,,,,20250529
,桃園市政府,佳恩長照社團法人附設桃園市私立平鎮佳醫住宿長照機構,,,蘇秀鑾,03-4607277,03-4603133,abhnh.pj@gmail.com,桃園市平鎮區新安里19鄰東光路23巷18號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立泰安老人長期照顧中心（養護型）,,,羅易井,03-4861967,03-4862580,fvr146931@gmail.com,桃園市新屋區永安里中山西路三段603巷36號,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立友愛老人長期照顧中心（養護型）,,,游?妹,03-3027510,03-3413284,yuxin6365@gmail.com,桃園市蘆竹區新興街273巷63號、65號1樓,機構喘息,全區,,,,,20250529
,桃園市政府,桃園市私立友德老人長期照顧中心（養護型）,,,楊金璇,03-3027510,03-3413284,yuxin6365@gmail.com,桃園市蘆竹區新興街273巷63、65號2樓,機構喘息,全區,,,,,20250529
,桃園市政府,寶之林長照社團法人附設桃園市私立寶之林住宿長照機構,,,林哲弘,03-3475855,03-3475289,b033475855@gmail.com,桃園市桃園區三民路三段106號3、5、6樓,機構喘息,全區,,,,,20250529
,桃園市政府,大溪區農會附設護理之家,,,陳玉娟,03-3879688,03-3877528,nh03161@gmail.com,桃園市大溪區中華路343號3樓,機構喘息,全區,,,,,20250529
,桃園市政府,,,,,,,,,,,,,,,20250529
